Step number	Time	VolQplus_planeLVOT	VolQminus_planeLVOT	VolQplus_planeOutflow	VolQminus_planeOutflow	dt	exp_dt	max_velocity	max_pressure
270	0.170064	6.35441	508688	41201	556299	0.001	1.70304e-05	3125.31	0.0050763
271	0.171064	6.91935	506611	41153.6	553240	0.001	1.71009e-05	3123.1	0.00506334
272	0.172064	7.4855	504538	41194.1	550218	0.001	1.71803e-05	3184.4	0.00505763
273	0.173064	7.98086	502377	41468.5	547411	0.001	1.72456e-05	4482.55	0.00504844
274	0.174064	8.57853	499803	41949.6	544740	0.001	1.54048e-05	6186.8	0.00504789
275	0.175064	10.5133	496879	42206.6	541817	0.001	1.05521e-05	4778.11	0.00504937
276	0.176064	11.6481	493770	42531	538929	0.001	1.32318e-05	4466.86	0.00505137
277	0.177064	12.7493	490518	42791.9	535927	0.001	1.42565e-05	3057.11	0.00502774
278	0.178064	13.8461	487210	42632.1	532522	0.001	1.6173e-05	3053.17	0.00499915
279	0.179064	5.85569	483768	42698.5	529217	0.001	1.54982e-05	3025.77	0.00504146
280	0.180064	9.64946	480473	42561.2	525642	0.001	1.55454e-05	3012.18	0.00501447
281	0.181064	11.1808	477166	42291.3	521853	0.001	1.62495e-05	2992.79	0.00498881
282	0.182064	9.6399	473885	42154.1	518161	0.001	1.72566e-05	2978.63	0.00496396
283	0.183064	11.3525	470519	41898.7	514381	0.001	1.84847e-05	2962.32	0.00493958
284	0.184064	13.0584	467123	41593.2	510495	0.001	1.86386e-05	2951.15	0.0049152
285	0.185064	14.7646	463648	41379.9	506754	0.001	1.8786e-05	2939.99	0.00489174
286	0.186064	16.4426	460141	41444.7	503302	0.001	1.89611e-05	2936.32	0.00486742
287	0.187064	17.9934	456839	41685.1	500049	0.001	1.91186e-05	2928.65	0.00484313
288	0.188064	26.5009	453676	41974.8	496868	0.001	1.92855e-05	2923.61	0.00481705
289	0.189064	28.0375	450581	42019.4	493467	0.001	1.84231e-05	2970.85	0.00479098
290	0.190064	24.7972	447489	41977	490017	0.001	1.67467e-05	3001.8	0.00476543
291	0.191064	26.5082	444345	41904.7	486582	0.001	1.6564e-05	3025.42	0.00473927
292	0.192064	28.1571	441114	41779.2	483163	0.001	1.64643e-05	2879.73	0.00471181
293	0.193064	24.0519	437822	41339.6	479467	0.001	1.81182e-05	2860.03	0.00468184
294	0.194064	26.2256	434260	40838	475759	0.001	1.90948e-05	2845.76	0.00464951
295	0.195064	28.4289	430541	40193	471938	0.001	2.03591e-05	2822.8	0.00470181
296	0.196064	25.1679	426665	39012.8	467609	0.001	2.05791e-05	2798.28	0.00475462
297	0.197064	11.7806	422534	38002.5	463441	0.001	1.84778e-06	2763.32	0.00473901
298	0.197564	15.0488	418095	37172.2	459460	0.0005	3.7153e-06	2741.64	0.00472413
299	0.198064	16.4764	416007	36577.1	457332	0.0005	7.51675e-06	2731.95	0.00470004
